PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=215 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=234 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=238 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=237 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=248 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=274 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=273 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=272 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=285 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=283 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=297 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=279 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=267 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=221 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=230 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=252 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=226 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=213 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=231 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=244 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=241 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=238 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=251 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=239 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=251 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=264 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=273 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=270 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=316 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=313 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=320 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=283 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=301 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=292 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=301 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=302 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=291 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=287 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=169 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=244 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=246 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=373 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=345 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=212 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=176 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=225 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=221 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=248 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=254 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=254 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=288 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=274 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=277 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=210 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=225 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=176 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=219 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=225 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=221 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=259 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=256 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=250 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=268 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=238 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=261 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=239 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=254 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=284 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=295 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=288 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=286 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=292 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=305 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=285 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=257 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=212 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=221 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=231 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=219 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=250 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=264 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=252 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=261 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=273 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=286 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=271 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=268 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=284 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=233 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=188 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=169 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=213 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=226 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=230 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=234 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=237 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=224 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=207 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=225 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=230 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=230 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=243 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=236 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=248 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=257 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=268 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=276 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=271 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=270 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=282 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=271 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=297 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=298 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=289 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=298 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=304 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=210 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=365 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=371 ttl=64 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=374 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=375 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=376 ttl=64 time=223 ms
64 bytes from 10.0.0.2: icmp_seq=377 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=378 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=379 ttl=64 time=220 ms
64 bytes from 10.0.0.2: icmp_seq=380 ttl=64 time=219 ms
64 bytes from 10.0.0.2: icmp_seq=381 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=382 ttl=64 time=224 ms
64 bytes from 10.0.0.2: icmp_seq=383 ttl=64 time=236 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=236 ms
64 bytes from 10.0.0.2: icmp_seq=385 ttl=64 time=264 ms
64 bytes from 10.0.0.2: icmp_seq=386 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=387 ttl=64 time=248 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=257 ms
64 bytes from 10.0.0.2: icmp_seq=389 ttl=64 time=274 ms
64 bytes from 10.0.0.2: icmp_seq=390 ttl=64 time=250 ms
64 bytes from 10.0.0.2: icmp_seq=391 ttl=64 time=257 ms
64 bytes from 10.0.0.2: icmp_seq=392 ttl=64 time=276 ms
64 bytes from 10.0.0.2: icmp_seq=393 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=394 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=395 ttl=64 time=277 ms
64 bytes from 10.0.0.2: icmp_seq=396 ttl=64 time=288 ms
64 bytes from 10.0.0.2: icmp_seq=397 ttl=64 time=286 ms
64 bytes from 10.0.0.2: icmp_seq=398 ttl=64 time=282 ms
64 bytes from 10.0.0.2: icmp_seq=399 ttl=64 time=276 ms
64 bytes from 10.0.0.2: icmp_seq=400 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=401 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=402 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=403 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=404 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=405 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=406 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=407 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=409 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=410 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=411 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=412 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=413 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=414 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=415 ttl=64 time=224 ms
64 bytes from 10.0.0.2: icmp_seq=416 ttl=64 time=229 ms
